期別,成交,漲跌,漲跌,成交量,外資,,,,,投信,,,自營商,,,三大法人合計,,
,,,(%),(張),買進,賣出,買賣超,持有,持股,買進,賣出,買賣超,買進,賣出,買賣超,買進,賣出,買賣超
,,,,,(張),(張),(張),(張),比率,(張),(張),(張),(張),(張),(張),(張),(張),(張)
'23/06/30,129.1,0.05,0.04,"7,504",107,"2,949","-2,842","500,762",19,0,131,-131,"2,195",781,"1,415","2,302","3,861","-1,558"
'23/06/29,129.05,-0.05,-0.04,"6,037",758,"2,147","-1,390","503,404",19,0,0,0,"2,637","1,178","1,459","3,395","3,325",69.8
'23/06/28,129.1,0.2,0.16,"5,944",199,239,-40.3,"503,308",19,0,205,-205,"2,892","1,237","1,655","3,092","1,681","1,410"
'23/06/27,128.9,-0.85,-0.66,"7,066","2,631",511,"2,120","503,368",19,0,80,-80,"1,285","3,358","-2,073","3,916","3,949",-33
'23/06/26,129.75,-0.8,-0.61,"7,961",137,"3,567","-3,430","501,276",19,0,0,0,"2,278",946,"1,332","2,415","4,513","-2,098"
'23/06/21,130.55,0,0,"26,908","16,309","2,042","14,267","504,730",19.1,0,500,-500,"7,888","19,325","-11,437","24,197","21,867","2,330"
'23/06/20,130.55,-0.7,-0.53,"6,967",738,"2,521","-1,783","490,458",18.6,0,200,-200,"3,711",685,"3,026","4,449","3,406","1,043"
'23/06/19,131.25,-0.3,-0.23,"6,340","2,099","1,774",325,"492,169",18.5,0,35,-35,"1,716",900,816,"3,814","2,708","1,106"
'23/06/16,131.55,-0.35,-0.27,"7,587","2,390","2,401",-10.6,"491,844",18.5,0,0,0,"1,267","1,540",-273,"3,657","3,941",-284
'23/06/15,131.9,0.4,0.3,"11,515","6,782",822,"5,959","491,855",18.5,0,0,0,"2,328","1,809",520,"9,110","2,631","6,479"
'23/06/14,131.5,-0.05,-0.04,"7,065","3,760",236,"3,524","485,912",18.3,0,201,-201,970,866,104,"4,729","1,303","3,427"
'23/06/13,131.55,2.55,1.98,"24,674","11,720",154,"11,566","504,888",18.5,"2,400",0,"2,400","6,866","1,434","5,432","20,986","1,588","19,398"
'23/06/12,129,1.2,0.94,"14,319","10,236",121,"10,116","493,346",18.4,230,0,230,"1,135",858,277,"11,602",979,"10,623"
'23/06/09,127.8,0.95,0.75,"5,862","1,823",183,"1,640","433,746",16.2,0,0,0,"2,117",176,"1,941","3,940",358,"3,582"
'23/06/08,126.85,-1.25,-0.98,"5,593",781,282,499,"383,273",14.6,0,0,0,822,"1,639",-817,"1,603","1,921",-318
'23/06/07,128.1,1.4,1.1,"12,724","8,055",7.33,"8,048","358,799",13.9,0,0,0,"2,954",952,"2,002","11,009",959,"10,050"
'23/06/06,126.7,0.35,0.28,"6,877","2,219",163,"2,056","302,776",11.9,0,0,0,"1,333","1,801",-468,"3,551","1,963","1,588"
'23/06/05,126.35,-0.4,-0.32,"6,813","1,344","1,696",-352,"256,751",10.2,0,0,0,"1,895",730,"1,164","3,239","2,426",813
'23/06/02,126.75,1.6,1.28,"8,412","3,353",602,"2,751","258,126",10.5,0,0,0,"3,287","1,216","2,071","6,639","1,818","4,821"
'23/06/01,125.15,-1,-0.79,"4,231",169,704,-536,"231,414",9.52,0,0,0,"1,052",804,248,"1,220","1,508",-288
'23/05/31,126.15,-0.6,-0.47,"9,229","2,979","2,910",68.6,"213,455",8.85,0,0,0,"3,964",913,"3,051","6,943","3,823","3,120"
'23/05/30,126.75,0,0,"12,627","8,667",69.9,"8,597","209,342",8.68,0,200,-200,"2,376",727,"1,649","11,043",997,"10,046"
'23/05/29,126.75,0.8,0.64,"15,208","8,531","4,028","4,503","195,688",8.14,400,0,400,"2,949","1,671","1,279","11,880","5,699","6,181"
'23/05/26,125.95,2.9,2.36,"25,082","14,093",987,"13,106","141,732",6.01,48,0,48,"7,016",836,"6,180","21,157","1,823","19,334"
'23/05/25,123.05,1.45,1.19,"12,033","5,583",428,"5,155","128,647",5.45,0,0,0,"3,758","1,350","2,408","9,341","1,778","7,563"
'23/05/24,121.6,-0.6,-0.49,"11,115","7,332",29.6,"7,302","116,368",4.93,0,0,0,"1,498",903,595,"8,830",933,"7,897"
'23/05/23,122.2,-0.1,-0.08,"12,550","6,834",654,"6,180","109,066",4.64,0,0,0,"2,769",558,"2,212","9,603","1,211","8,391"
'23/05/22,122.3,-0.2,-0.16,"18,271","13,231",353,"12,878","105,412",4.48,0,0,0,"2,520","1,127","1,392","15,750","1,480","14,270"
'23/05/19,122.5,0.35,0.29,"34,913","28,355",397,"27,958","95,068",4.04,0,517,-517,"3,970","2,533","1,437","32,326","3,447","28,879"
'23/05/18,122.15,1.6,1.33,"23,086","13,245",453,"12,793","67,112",2.85,0,0,0,"6,541","1,824","4,717","19,787","2,277","17,510"
'23/05/17,120.55,1.95,1.64,"26,760","10,871",232,"10,639","54,262",2.31,0,0,0,"13,312","11,047","2,265","24,183","11,279","12,904"
'23/05/16,118.6,1.4,1.19,"8,154",540,144,396,"43,623",1.85,200,0,200,"4,140","2,091","2,049","4,880","2,235","2,645"
'23/05/15,117.2,0,0,"4,585",144,"1,512","-1,368","38,257",1.63,120,100,20,360,"1,264",-904,624,"2,876","-2,252"
'23/05/12,117.2,-0.35,-0.3,"4,252",90.6,"1,963","-1,872","39,663",1.69,0,0,0,371,"1,123",-752,462,"3,086","-2,625"
'23/05/11,117.55,-0.25,-0.21,"4,032",446,556,-110,"41,037",1.75,100,0,100,435,"1,393",-958,981,"1,948",-968
'23/05/10,117.8,-1.1,-0.93,"4,685",245,"1,929","-1,683","41,122",1.75,0,100,-100,426,818,-392,671,"2,846","-2,175"
'23/05/09,118.9,0.35,0.3,"4,828",896,662,235,"42,830",1.83,0,0,0,"1,996",196,"1,800","2,892",858,"2,035"
'23/05/08,118.55,0.75,0.64,"6,287",425,"1,434","-1,009","42,625",1.82,160,0,160,937,870,67.2,"1,522","2,304",-782
'23/05/05,117.8,0.3,0.26,"2,550",193,380,-186,"43,657",1.86,0,0,0,213,565,-352,406,944,-538
'23/05/04,117.5,0.3,0.26,"3,888","1,170",490,680,"43,884",1.87,100,0,100,456,759,-303,"1,726","1,249",477
'23/05/03,117.2,-0.5,-0.42,"4,652",103,"1,924","-1,820","43,256",1.86,0,0,0,156,"1,571","-1,415",259,"3,495","-3,236"
'23/05/02,117.7,0.3,0.26,"5,573",642,"1,378",-736,"41,100",1.77,0,"1,050","-1,050",464,"1,421",-957,"1,106","3,849","-2,743"
'23/04/28,117.4,1.4,1.21,"6,023",178,"2,912","-2,734","45,653",1.97,0,0,0,"1,017",882,135,"1,195","3,794","-2,599"
'23/04/27,116,-0.1,-0.09,"10,274",406,"6,980","-6,574","43,286",1.87,0,0,0,765,"1,940","-1,175","1,171","8,920","-7,749"
'23/04/26,116.1,-0.5,-0.43,"14,210",530,"7,061","-6,531","50,475",2.19,150,0,150,"1,247","4,937","-3,690","1,927","11,998","-10,071"
'23/04/25,116.6,-1.55,-1.31,"21,039",261,"14,794","-14,533","51,913",2.26,0,0,0,606,"3,814","-3,208",867,"18,608","-17,742"
'23/04/24,118.15,-0.45,-0.38,"7,309",178,"4,420","-4,242","54,735",2.38,0,150,-150,341,"1,103",-762,519,"5,673","-5,154"
'23/04/21,118.6,-0.3,-0.25,"5,327",310,"1,952","-1,642","66,477",2.89,0,200,-200,731,"1,558",-827,"1,041","3,710","-2,669"
'23/04/20,118.9,-0.15,-0.13,"7,082",666,"5,359","-4,693","68,159",2.97,0,0,0,"1,352",640,712,"2,018","5,999","-3,981"
'23/04/19,119.05,-0.9,-0.75,"8,700",815,"3,016","-2,200","72,883",3.17,0,0,0,512,"1,846","-1,334","1,327","4,861","-3,534"
'23/04/18,119.95,-0.4,-0.33,"5,184",406,"2,786","-2,380","75,095",3.27,200,500,-300,678,814,-136,"1,284","4,100","-2,816"
'23/04/17,120.35,-0.3,-0.25,"6,061",9.45,"3,812","-3,803","72,400",3.15,0,0,0,542,"1,167",-625,552,"4,979","-4,428"
'23/04/14,120.65,1.15,0.96,"3,290",323,284,38.5,"76,185",3.33,0,0,0,"1,209",363,846,"1,532",647,885
'23/04/13,119.5,-1.05,-0.87,"7,509",145,"2,976","-2,831","76,165",3.33,0,0,0,337,"2,320","-1,983",482,"5,296","-4,814"
'23/04/12,120.55,-0.3,-0.25,"3,247",35.8,"1,584","-1,548","78,996",3.45,0,0,0,497,522,-25,533,"2,106","-1,573"
'23/04/11,120.85,-0.15,-0.12,"6,233",801,662,139,"78,059",3.41,0,0,0,"2,863",540,"2,323","3,664","1,202","2,462"
'23/04/10,121,0,0,"4,503",220,581,-361,"77,942",3.4,0,0,0,"1,203",519,683,"1,423","1,100",323
'23/04/07,121,0,0,"4,623",44.9,"1,179","-1,134","78,354",3.42,"1,600",0,"1,600","1,045",716,329,"2,690","1,895",795
'23/04/06,121,-0.6,-0.49,"8,077",187,"3,280","-3,094","79,442",3.47,"1,000",0,"1,000",267,"2,864","-2,597","1,454","6,144","-4,691"
期別,,,,,,,,,,,,,,,,,,
'23/06/30,,,,,,,,,,,,,,,,,,
'23/06/29,,,,,,,,,,,,,,,,,,
'23/06/28,,,,,,,,,,,,,,,,,,
'23/06/27,,,,,,,,,,,,,,,,,,
'23/06/26,,,,,,,,,,,,,,,,,,
'23/06/21,,,,,,,,,,,,,,,,,,
'23/06/20,,,,,,,,,,,,,,,,,,
'23/06/19,,,,,,,,,,,,,,,,,,
'23/06/16,,,,,,,,,,,,,,,,,,
'23/06/15,,,,,,,,,,,,,,,,,,
'23/06/14,,,,,,,,,,,,,,,,,,
'23/06/13,,,,,,,,,,,,,,,,,,
'23/06/12,,,,,,,,,,,,,,,,,,
'23/06/09,,,,,,,,,,,,,,,,,,
'23/06/08,,,,,,,,,,,,,,,,,,
'23/06/07,,,,,,,,,,,,,,,,,,
'23/06/06,,,,,,,,,,,,,,,,,,
'23/06/05,,,,,,,,,,,,,,,,,,
期別,,,,,,,,,,,,,,,,,,
'23/06/02,,,,,,,,,,,,,,,,,,
'23/06/01,,,,,,,,,,,,,,,,,,
'23/05/31,,,,,,,,,,,,,,,,,,
'23/05/30,,,,,,,,,,,,,,,,,,
'23/05/29,,,,,,,,,,,,,,,,,,
'23/05/26,,,,,,,,,,,,,,,,,,
'23/05/25,,,,,,,,,,,,,,,,,,
'23/05/24,,,,,,,,,,,,,,,,,,
'23/05/23,,,,,,,,,,,,,,,,,,
'23/05/22,,,,,,,,,,,,,,,,,,
'23/05/19,,,,,,,,,,,,,,,,,,
'23/05/18,,,,,,,,,,,,,,,,,,
'23/05/17,,,,,,,,,,,,,,,,,,
'23/05/16,,,,,,,,,,,,,,,,,,
'23/05/15,,,,,,,,,,,,,,,,,,
'23/05/12,,,,,,,,,,,,,,,,,,
'23/05/11,,,,,,,,,,,,,,,,,,
'23/05/10,,,,,,,,,,,,,,,,,,
期別,,,,,,,,,,,,,,,,,,
'23/05/09,,,,,,,,,,,,,,,,,,
'23/05/08,,,,,,,,,,,,,,,,,,
'23/05/05,,,,,,,,,,,,,,,,,,
'23/05/04,,,,,,,,,,,,,,,,,,
'23/05/03,,,,,,,,,,,,,,,,,,
'23/05/02,,,,,,,,,,,,,,,,,,
'23/04/28,,,,,,,,,,,,,,,,,,
'23/04/27,,,,,,,,,,,,,,,,,,
'23/04/26,,,,,,,,,,,,,,,,,,
'23/04/25,,,,,,,,,,,,,,,,,,
'23/04/24,,,,,,,,,,,,,,,,,,
'23/04/21,,,,,,,,,,,,,,,,,,
'23/04/20,,,,,,,,,,,,,,,,,,
'23/04/19,,,,,,,,,,,,,,,,,,
'23/04/18,,,,,,,,,,,,,,,,,,
'23/04/17,,,,,,,,,,,,,,,,,,
'23/04/14,,,,,,,,,,,,,,,,,,
'23/04/13,,,,,,,,,,,,,,,,,,
期別,,,,,,,,,,,,,,,,,,
'23/04/12,,,,,,,,,,,,,,,,,,
'23/04/11,,,,,,,,,,,,,,,,,,
'23/04/10,,,,,,,,,,,,,,,,,,
'23/04/07,,,,,,,,,,,,,,,,,,
'23/04/06,,,,,,,,,,,,,,,,,,
