ら戳,Θユ计,Θユ肂,秨絃基児,程蔼基,程基,Μ絃基暩,害禴基畉,Θユ掸计
112/01/03,"15,272,877","1,673,263,794",109.6,110.9,108.45,110.75,0.55,"13,899"
112/01/04,"14,211,742","1,569,704,151",110.3,110.8,110.1,110.5,-0.25,"11,908"
112/01/05,"12,395,862","1,379,134,974",111.25,111.7,110.95,111.3,0.8,"10,075"
112/01/06,"11,826,560","1,321,964,557",111.2,112.2,111.15,111.8,0.5,"9,838"
112/01/09,"15,649,173","1,796,709,538",114,115.8,113.9,115.8,4,"16,946"
112/01/10,"12,427,863","1,442,160,806",115.95,116.4,115.75,116.25,0.45,"13,729"
112/01/11,"15,849,620","1,841,541,741",116.65,116.75,115.9,116.35,0.1,"9,631"
112/01/12,"10,249,887","1,189,043,911",116.5,116.6,115.65,115.85,-0.5,"9,044"
112/01/13,"28,912,072","3,396,535,255",118.5,118.6,116.95,117.2,1.35,"15,940"
112/01/16,"28,203,249","3,334,058,723",118.1,118.55,118,118.1,0.9,"20,855"
112/01/17,"14,600,817","1,723,846,104",118.35,118.35,117.8,118.1,0,"16,373"
112/01/30,"44,330,389","5,335,880,299",120.8,121,120,120.7,X0.00,"31,199"
112/01/31,"22,474,562","2,681,531,250",120.6,120.6,118.3,118.3,-2.4,"23,552"
112/02/01,"6,903,171","821,124,932",119.1,119.45,118.45,119,0.7,"8,921"
112/02/02,"16,194,958","1,956,007,315",120.3,121.1,120.25,121,2,"15,931"
112/02/03,"9,934,984","1,200,856,481",120.95,121.2,120.2,121,0,"10,997"
112/02/06,"14,297,030","1,709,758,781",120.1,120.1,119.25,119.25,-1.75,"25,811"
112/02/07,"8,787,291","1,045,314,027",119.1,119.25,118.55,119,-0.25,"13,540"
112/02/08,"9,239,321","1,114,132,382",120.1,120.95,120,120.85,1.85,"8,739"
112/02/09,"5,032,245","607,543,546",120.5,121,120.3,120.9,0.05,"7,141"
112/02/10,"6,572,526","794,912,205",120.9,121.1,120.6,121,0.1,"9,368"
112/02/13,"4,149,906","499,573,936",120.7,120.9,119.9,120.75,-0.25,"8,262"
112/02/14,"7,965,786","968,395,750",121.25,121.8,121.25,121.65,0.9,"8,497"
112/02/15,"13,852,368","1,653,181,275",119.95,120.25,118.8,118.85,-2.8,"33,160"
112/02/16,"11,233,273","1,349,768,658",119.3,120.5,119.3,120.3,1.45,"14,038"
112/02/17,"8,960,233","1,064,028,251",119.3,119.3,118.4,118.75,-1.55,"22,127"
