交易日期,收盤價,漲跌價,漲跌幅,至
,,,(A),'23/12/29
,,,,累計
,,,,漲跌幅
'23/12/29,135.45,-0.3,-0.22%,-0.22%
'23/12/28,135.75,0,0%,-0.22%
'23/12/27,135.75,1.5,1.12%,0.89%
'23/12/26,134.25,0.75,0.56%,1.46%
'23/12/25,133.5,0.55,0.41%,1.88%
'23/12/22,132.95,0.35,0.26%,2.15%
'23/12/21,132.6,-1.15,-0.86%,1.27%
'23/12/20,133.75,0.35,0.26%,1.54%
'23/12/19,133.4,-0.5,-0.37%,1.16%
'23/12/18,133.9,0.2,0.15%,1.31%
'23/12/15,133.7,0.55,0.41%,1.73%
'23/12/14,133.15,1.6,1.22%,2.96%
'23/12/13,131.55,0.05,0.04%,3%
'23/12/12,131.5,0.3,0.23%,3.24%
'23/12/11,131.2,0.15,0.11%,3.36%
'23/12/08,131.05,1.05,0.81%,4.19%
'23/12/07,130,-0.8,-0.61%,3.56%
'23/12/06,130.8,0.45,0.35%,3.91%
'23/12/05,130.35,-0.95,-0.72%,3.16%
'23/12/04,131.3,-0.5,-0.38%,2.77%
'23/12/01,131.8,0.45,0.34%,3.12%
'23/11/30,131.35,0.2,0.15%,3.28%
'23/11/29,131.15,-0.1,-0.08%,3.20%
'23/11/28,131.25,0.9,0.69%,3.91%
'23/11/27,130.35,-0.85,-0.65%,3.24%
'23/11/24,131.2,-0.1,-0.08%,3.16%
'23/11/23,131.3,-0.05,-0.04%,3.12%
'23/11/22,131.35,-1.2,-0.91%,2.19%
'23/11/21,132.55,1.6,1.22%,3.44%
'23/11/20,130.95,-0.05,-0.04%,3.40%
'23/11/17,131,0.4,0.31%,3.71%
'23/11/16,130.6,0.05,0.04%,3.75%
'23/11/15,130.55,1.55,1.20%,5%
'23/11/14,129,0.3,0.23%,5.24%
'23/11/13,128.7,1.95,1.54%,6.86%
'23/11/10,126.75,-0.5,-0.39%,6.44%
'23/11/09,127.25,0.05,0.04%,6.49%
'23/11/08,127.2,0.7,0.55%,7.08%
'23/11/07,126.5,-0.05,-0.04%,7.03%
'23/11/06,126.55,1.1,0.88%,7.97%
'23/11/03,125.45,0.95,0.76%,8.80%
'23/11/02,124.5,2.75,2.26%,11.30%
'23/11/01,121.75,0.6,0.50%,11.80%
'23/10/31,121.15,-0.85,-0.70%,11%
'23/10/30,122,-0.3,-0.25%,10.80%
'23/10/27,122.3,0.55,0.45%,11.30%
'23/10/26,121.75,-2.45,-1.97%,9.06%
'23/10/25,124.2,0.25,0.20%,9.28%
'23/10/24,123.95,0.1,0.08%,9.37%
'23/10/23,123.85,-1.55,-1.24%,8.01%
'23/10/20,125.4,0.55,0.44%,8.49%
'23/10/19,124.85,0.05,0.04%,8.53%
'23/10/18,124.8,-1.75,-1.38%,7.03%
'23/10/17,126.55,0.3,0.24%,7.29%
'23/10/16,126.25,-0.7,-0.55%,6.70%
'23/10/13,126.95,-0.35,-0.27%,6.40%
'23/10/12,127.3,1.05,0.83%,7.29%
'23/10/11,126.25,2.15,1.73%,9.15%
'23/10/06,124.1,0.45,0.36%,9.54%
'23/10/05,123.65,1.75,1.44%,11.10%
'23/10/04,121.9,-1.6,-1.30%,9.68%
'23/10/03,123.5,-0.75,-0.60%,9.01%
'23/10/02,124.25,1.6,1.30%,10.40%
'23/09/28,122.65,0.5,0.41%,10.90%
'23/09/27,122.15,0.05,0.04%,10.90%
'23/09/26,122.1,-1.45,-1.17%,9.63%
'23/09/25,123.55,0.9,0.73%,10.40%
'23/09/22,122.65,-0.1,-0.08%,10.30%
'23/09/21,122.75,-2,-1.60%,8.58%
'23/09/20,124.75,-0.7,-0.56%,7.97%
'23/09/19,125.45,-0.55,-0.44%,7.50%
'23/09/18,126,-1.35,-1.06%,6.36%
'23/09/15,127.35,0.4,0.32%,6.70%
'23/09/14,126.95,1.75,1.40%,8.19%
'23/09/13,125.2,0.15,0.12%,8.32%
'23/09/12,125.05,1.25,1.01%,9.41%
'23/09/11,123.8,-0.5,-0.40%,8.97%
'23/09/08,124.3,-0.55,-0.44%,8.49%
'23/09/07,124.85,-1.15,-0.91%,7.50%
'23/09/06,126,-0.45,-0.36%,7.12%
'23/09/05,126.45,-0.3,-0.24%,6.86%
'23/09/04,126.75,0.85,0.68%,7.59%
'23/09/01,125.9,0.2,0.16%,7.76%
'23/08/31,125.7,-0.9,-0.71%,6.99%
'23/08/30,126.6,0.55,0.44%,7.46%
'23/08/29,126.05,0.7,0.56%,8.06%
'23/08/28,125.35,0.8,0.64%,8.75%
'23/08/25,124.55,-2.45,-1.93%,6.65%
'23/08/24,127,2.15,1.72%,8.49%
'23/08/23,124.85,0.85,0.69%,9.23%
